"Country_code","Country_name","Series code","Series_name","SCALE","Decimals","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","Income_group"
"ADO","Andorra","EN.ATM.CO2E.PP.GD.KD","CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","EG.USE.PCAP.KG.OE","Energy use per capita (kilograms of oil equivalent)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","SP.POP.TOTL","Population",0,0,52773,54996,57767,60670,63111,64699,65227,64905,64246,63985,64634,66390,69043,72203,75292,77888,79874,81390,82577,83677,84864,NA,"High income: nonOECD"
"ADO","Andorra","EN.ATM.CO2E.PC","CO2 emissions per capita (metric tons)",0,1,NA,NA,NA,NA,NA,6.29,6.52,7.06,7.53,8.02,8.11,7.9,7.7,7.41,7.5,7.39,6.84,6.62,6.53,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","SP.URB.GROW","Urban population growth (annual %)",0,1,2.84,3.91,4.7,4.69,3.73,2.27,0.53,-0.77,-1.3,-0.69,0.73,2.23,3.46,4.02,3.73,2.93,2.01,1.37,0.93,0.8,0.89,NA,"High income: nonOECD"
"ADO","Andorra","NY.GNP.PCAP.CD","GNI per capita (Atlas $)",0,0,17440,18820,20540,18830,17770,17600,18710,19950,19310,19300,18790,19620,19710,22720,27840,32650,35620,37340,41750,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","EG.USE.COMM.GD.PP.KD","Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","SE.PRM.CMPT.ZS","Primary completion rate, total (% of relevant age group)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.3,103.03,101.24,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","SH.DYN.MORT","Under-five mortality rate (per 1,000)",0,0,8.8,8.2,7.6,7.2,6.7,6.3,6,5.7,5.4,5.1,4.9,4.7,4.5,4.3,4.1,4.1,4,3.9,3.9,3.8,3.8,NA,"High income: nonOECD"
"ADO","Andorra","SE.ENR.PRSC.FM.ZS","Ratio of girls to boys in primary & secondary school (%)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.46,101.43,101.34,102.83,104.08,103.25,103.44,104.22,NA,NA,"High income: nonOECD"
"ADO","Andorra","EN.URB.MCTY.TL.ZS","Population in urban agglomerations >1million (%)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","AG.YLD.CREL.KG","Cereal yield (kg per hectare)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","ER.LND.PTLD.ZS","Nationally terrestrial protected areas (% of total land area)",0,1,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,6.03,6.03,6.03,6.03,6.03,6.03,NA,NA,"High income: nonOECD"
"ADO","Andorra","EN.ATM.CO2E.KT","CO2 emissions, total (KtCO2)",0,1,NA,NA,NA,NA,NA,407.04,425.37,458.38,484.04,513.38,524.38,524.38,531.72,535.38,564.72,575.72,546.38,539.05,539.05,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","NY.GDP.MKTP.CD","GDP ($)",0,0,1028989439.41,1106890942.99,1209992604.29,1007090896.44,1017544619.09,1178745261.83,1224023469.69,1180646037.01,1211953953.56,1239840265.63,1133644294.54,1264760246.44,1456198796.29,1917948475.28,2322163502.26,2539759285.93,2823503852.62,3245411583.72,3712034266.51,NA,NA,NA,"High income: nonOECD"
"ADO","Andorra","SP.URB.TOTL","Urban population",0,0,49976.03,51971.22,54474.28,57090.47,59261.23,60622.96,60948.11,60478.48,59697.38,59288.5,59721.82,61065.52,63215.77,65805.81,68304.9,70332.86,71758.8,72746.38,73427.47,74020.67,74680.32,NA,"High income: nonOECD"
"ADO","Andorra","SP.POP.GROW","Population growth (annual %)",0,1,2.95,4.13,4.92,4.9,3.94,2.49,0.81,-0.49,-1.02,-0.41,1.01,2.68,3.92,4.48,4.19,3.39,2.52,1.88,1.45,1.32,1.41,NA,"High income: nonOECD"
"AFG","Afghanistan","EG.USE.PCAP.KG.OE","Energy use per capita (kilograms of oil equivalent)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low income"
"AFG","Afghanistan","EN.ATM.CO2E.KT","CO2 emissions, total (KtCO2)",0,1,2676.91,2493.56,1426.46,1375.12,1320.12,1268.78,1199.11,1114.77,1056.1,832.41,781.07,645.39,359.37,583.05,704.06,700.4,696.73,715.07,814.07,NA,NA,NA,"Low income"
"AFG","Afghanistan","EN.URB.MCTY.TL.ZS","Population in urban agglomerations >1million (%)",0,0,6.74,7.04,7.39,7.32,7.26,7.19,7.16,7.12,7.09,7.06,7.57,8.14,8.75,9.41,9.85,10.01,10.18,10.35,10.52,10.69,10.85,NA,"Low income"
"AFG","Afghanistan","NY.GNP.PCAP.CD","GNI per capita (Atlas $)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,230,270,300,290,NA,NA,NA,"Low income"
"AFG","Afghanistan","EN.ATM.CO2E.PP.GD.KD","CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.01,32.66,36.04,31.31,28.01,25.87,28.48,NA,NA,NA,"Low income"
"AFG","Afghanistan","AG.YLD.CREL.KG","Cereal yield (kg per hectare)",0,0,1200.6,1160,1097.7,1135.5,1140.3,1219.6,1203.7,1349.3,1389.1,1286,806.3,1006.6,1669.7,1458,1334.8,1790.4,1551.6,1913.5,1418.1,2031.3,NA,NA,"Low income"
"AFG","Afghanistan","SP.POP.TOTL","Population",0,0,19023678,19668810.29,20335820.34,21025450.09,21738466.61,22475663,23131309.06,23806081.22,24500537.42,25215251.86,25950815.5,26697430.19,27465525.27,28255718.73,29068646.36,29904962.21,30751661.41,31622333.2,32517656.32,33438328.72,34385068.12,NA,"Low income"
"AFG","Afghanistan","SE.ENR.PRSC.FM.ZS","Ratio of girls to boys in primary & secondary school (%)",0,0,NA,53.93,NA,35.78,42.52,46.57,NA,NA,NA,NA,NA,0,NA,54.83,41.01,55.57,58.22,57.74,59.79,62.27,NA,NA,"Low income"
"AFG","Afghanistan","EG.USE.COMM.GD.PP.KD","Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low income"
"AFG","Afghanistan","SE.PRM.CMPT.ZS","Primary completion rate, total (% of relevant age group)",0,0,NA,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.83,NA,NA,NA,NA,NA,NA,"Low income"
"AFG","Afghanistan","SP.URB.GROW","Urban population growth (annual %)",0,1,3.49,4.96,4.94,4.91,4.89,4.86,4.38,4.36,4.34,4.31,4.29,4.33,4.31,4.28,4.26,4.24,4.44,4.41,4.39,4.36,4.34,NA,"Low income"
"AFG","Afghanistan","ER.LND.PTLD.ZS","Nationally terrestrial protected areas (% of total land area)",0,1,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,NA,NA,"Low income"
"AFG","Afghanistan","EN.ATM.CO2E.PC","CO2 emissions per capita (metric tons)",0,1,0.14,0.13,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,NA,NA,NA,"Low income"
"AFG","Afghanistan","BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,1.15,1.21,3.28,3.98,3.08,2.5,2.55,NA,NA,NA,"Low income"
"AFG","Afghanistan","SH.DYN.MORT","Under-five mortality rate (per 1,000)",0,0,208.7,197.6,186.9,176,167.7,158.9,153.4,152.4,151.4,150.8,151.1,150.4,149.6,150.6,150.1,150.5,150.5,150.2,149.6,149.4,149.2,NA,"Low income"
"AFG","Afghanistan","SP.URB.TOTL","Urban population",0,0,3481333.07,3658398.71,3843470.05,4036886.42,4239000.99,4450181.27,4649393.12,4856440.57,5071611.25,5295202.89,5527523.7,5771984.41,6025936.24,6289722.99,6563700.35,6848236.35,7158986.78,7481844.03,7817244.58,8165639.87,8527496.89,NA,"Low income"
"AFG","Afghanistan","SP.POP.GROW","Population growth (annual %)",0,1,2.08,3.39,3.39,3.39,3.39,3.39,2.92,2.92,2.92,2.92,2.92,2.88,2.88,2.88,2.88,2.88,2.83,2.83,2.83,2.83,2.83,NA,"Low income"
"AFG","Afghanistan","NY.GDP.MKTP.CD","GDP ($)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2461666314.78,4338907578.66,4766127271.58,5704202650.64,6814753580.54,7721931671.42,9739337182.88,11757405532.51,NA,NA,NA,"Low income"
"AGO","Angola","EG.USE.PCAP.KG.OE","Energy use per capita (kilograms of oil equivalent)",0,0,569.24,565.45,550.55,551.69,541.55,528.39,531.68,531.74,519.27,531.9,533.44,542.47,549.32,568.51,597.24,551.96,581.15,605.81,630.64,641.11,NA,NA,"Lower middle income"
"AGO","Angola","NY.GNP.PCAP.CD","GNI per capita (Atlas $)",0,0,740,820,470,310,190,320,380,470,460,390,420,460,610,690,920,1330,1920,2660,3420,3880,3940,NA,"Lower middle income"
"AGO","Angola","EN.ATM.CO2E.KT","CO2 emissions, total (KtCO2)",0,1,4429.74,4367.4,4418.74,5801.19,3890.69,11012,10491.29,7381.67,7308.33,9156.5,9541.53,9732.22,12665.82,9064.82,18793.38,19156.41,22266.02,25151.95,24370.88,NA,NA,NA,"Lower middle income"
"AGO","Angola","AG.YLD.CREL.KG","Cereal yield (kg per hectare)",0,0,320.9,417.4,397,267.8,298.4,402.2,653.3,567.3,701.6,620.3,572.1,623.7,639.7,668.4,499.7,598.8,449.1,526.8,729.9,587.7,NA,NA,"Lower middle income"
"AGO","Angola","EN.URB.MCTY.TL.ZS","Population in urban agglomerations >1million (%)",0,0,15.17,15.29,15.66,16.03,16.07,16.13,16.24,16.82,17.42,18.02,18.61,19.16,19.7,20.24,20.81,21.43,22.1,22.82,23.57,24.31,25.01,NA,"Lower middle income"
"AGO","Angola","SP.POP.GROW","Population growth (annual %)",0,1,2.77,3.03,3.23,3.3,3.21,3.04,2.83,2.69,2.67,2.8,3.02,3.26,3.43,3.49,3.43,3.28,3.11,2.98,2.88,2.83,2.8,NA,"Lower middle income"
"AGO","Angola","SP.POP.TOTL","Population",0,0,10335052,10653515,11002910,11371750,11742960,12105105,12452725,12792237,13138265,13511575,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964,18555115,19081912,NA,"Lower middle income"
"AGO","Angola","ER.LND.PTLD.ZS","Nationally terrestrial protected areas (% of total land area)",0,1,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,NA,NA,"Lower middle income"
"AGO","Angola","EG.USE.COMM.GD.PP.KD","Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,172.98,179.27,193.63,266.32,260.83,237.62,221.2,210.61,197.78,201.81,202.51,206.28,188.82,195.88,191.54,151.65,138.93,121.61,114.49,116.92,NA,NA,"Lower middle income"
"AGO","Angola","SE.PRM.CMPT.ZS","Primary completion rate, total (% of relevant age group)",0,0,NA,33.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower middle income"
"AGO","Angola","SP.URB.GROW","Urban population growth (annual %)",0,1,6.51,6.69,6.75,6.7,6.5,6.22,5.08,4.89,4.82,4.91,5.09,5.28,5.41,5.44,5.33,5.15,4.77,4.61,4.48,4.4,4.35,NA,"Lower middle income"
"AGO","Angola","SP.URB.TOTL","Urban population",0,0,3834304.29,4099472.57,4385759.93,4689709.7,5004849.55,5326246.2,5603726.25,5884429.02,6174984.55,6485556,6823922.77,7194122,7594141.74,8018370.36,8457453.8,8904071.34,9338690.93,9779154.79,10227525.59,10687746.24,11162918.52,NA,"Lower middle income"
"AGO","Angola","SE.ENR.PRSC.FM.ZS","Ratio of girls to boys in primary & secondary school (%)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,82.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower middle income"
"AGO","Angola","EN.ATM.CO2E.PP.GD.KD","CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,130.24,129.97,141.24,246.26,159.58,409.11,350.5,228.56,211.87,257.12,260.1,257.21,292.38,202.55,377.7,319.2,312.92,288.09,245.29,NA,NA,NA,"Lower middle income"
"AGO","Angola","SH.DYN.MORT","Under-five mortality rate (per 1,000)",0,0,243,239.1,235.3,231.1,226.3,221.5,217,212.4,207.9,203.3,199.6,195.1,190.7,187.5,183.2,179.1,174.9,171.1,168.2,164.3,160.5,NA,"Lower middle income"
"AGO","Angola","EN.ATM.CO2E.PC","CO2 emissions per capita (metric tons)",0,1,0.43,0.41,0.4,0.51,0.33,0.91,0.84,0.58,0.56,0.68,0.69,0.68,0.85,0.59,1.18,1.16,1.31,1.44,1.35,NA,NA,NA,"Lower middle income"
"AGO","Angola","BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",0,1,-3.26,5.45,4.98,5.72,4.2,9.37,2.4,5.36,17.28,40.16,9.62,24.01,14.63,25.11,7.33,-4.26,-0.08,-1.48,1.99,2.92,11.78,NA,"Lower middle income"
"AGO","Angola","NY.GDP.MKTP.CD","GDP ($)",0,0,10260193360.68,12193746624.68,5779394291.76,5285600050.35,4059577145.36,5039534776.49,7526446605.52,7675412589.46,6445192203.75,6154480286.74,9129180360.52,8936023211.53,11431738445.42,13956268299.11,19775218958,30632364953.75,45163239832.43,60451594399.4,84178512502.43,75492890278.34,84390572976.74,NA,"Lower middle income"
"ALB","Albania","EN.ATM.CO2E.PP.GD.KD","CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,581.6,438.08,283.77,254.14,193.16,184.43,163.4,139.28,140.32,217.56,205.25,204.59,230.87,249.81,220.17,239.84,210.03,210.02,181.76,NA,NA,NA,"Upper middle income"
"ALB","Albania","EN.URB.MCTY.TL.ZS","Population in urban agglomerations >1million (%)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper middle income"
"ALB","Albania","SP.POP.GROW","Population growth (annual %)",0,1,1.03,0.07,-0.75,-1.3,-1.42,-1.21,-0.91,-0.67,-0.42,-0.21,-0.03,0.18,0.4,0.55,0.58,0.54,0.47,0.41,0.37,0.36,0.36,NA,"Upper middle income"
"ALB","Albania","EG.USE.PCAP.KG.OE","Energy use per capita (kilograms of oil equivalent)",0,0,809.22,565.88,413.94,410.92,443.46,421.57,454.24,390.42,423.03,569.1,574.98,580.73,642.29,663.77,640.55,724.18,679.85,671.01,649.92,537.83,NA,NA,"Upper middle income"
"ALB","Albania","NY.GNP.PCAP.CD","GNI per capita (Atlas $)",0,0,680,420,300,320,410,670,910,800,890,980,1170,1340,1390,1650,2090,2580,2960,3310,3820,3960,3960,NA,"Upper middle income"
"ALB","Albania","SE.PRM.CMPT.ZS","Primary completion rate, total (% of relevant age group)",0,0,NA,NA,NA,NA,NA,NA,93.43,NA,NA,104.08,101.69,101.13,98.14,96.98,94.54,NA,NA,NA,NA,89.63,NA,NA,"Upper middle income"
"ALB","Albania","EN.ATM.CO2E.KT","CO2 emissions, total (KtCO2)",0,1,7488.01,3971.36,2387.22,2343.21,1928.84,2086.52,2016.85,1543.81,1752.83,2992.27,3028.94,3230.63,3751.34,4290.39,4004.36,4602.08,4231.72,4481.07,4176.71,NA,NA,NA,"Upper middle income"
"ALB","Albania","ER.LND.PTLD.ZS","Nationally terrestrial protected areas (% of total land area)",0,1,4.34,4.34,4.34,4.34,4.39,4.39,5.99,5.99,5.99,8.01,8.01,8.01,8.15,8.17,8.71,9.79,9.79,9.79,9.79,9.79,NA,NA,"Upper middle income"
"ALB","Albania","SE.ENR.PRSC.FM.ZS","Ratio of girls to boys in primary & secondary school (%)",0,0,95.03,96.06,NA,NA,99.83,96.83,96.11,NA,NA,96.03,97.36,98.42,NA,97.74,97.67,NA,NA,NA,NA,99.5,NA,NA,"Upper middle income"
"ALB","Albania","BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",0,1,NA,NA,2.82,4.72,2.67,2.89,2.99,2.16,1.65,1.2,3.88,5.07,3.03,3.15,4.57,3.13,3.56,6.19,7.39,8,9.41,NA,"Upper middle income"
"ALB","Albania","SP.URB.GROW","Urban population growth (annual %)",0,1,1.74,1.43,0.59,0.03,-0.11,0.08,0.52,0.74,0.97,1.17,1.32,1.66,1.86,1.98,2,1.93,1.89,1.81,1.75,1.72,1.7,NA,"Upper middle income"
"ALB","Albania","SP.POP.TOTL","Population",0,0,3289483,3291695,3266983,3224901,3179442,3141102,3112597,3091902,3079037,3072725,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284,NA,"Upper middle income"
"ALB","Albania","SP.URB.TOTL","Urban population",0,0,1197371.81,1214635.46,1221851.64,1222237.48,1220905.73,1221888.68,1228230.78,1237379.18,1249473.21,1264119.06,1280963.95,1302346.37,1326750.67,1353278.96,1380563.59,1407526.4,1434362.22,1460581.63,1486348.68,1512073.61,1538056.32,NA,"Upper middle income"
"ALB","Albania","EN.ATM.CO2E.PC","CO2 emissions per capita (metric tons)",0,1,2.28,1.21,0.73,0.73,0.61,0.66,0.65,0.5,0.57,0.97,0.99,1.05,1.21,1.38,1.28,1.46,1.34,1.41,1.31,NA,NA,NA,"Upper middle income"
"ALB","Albania","EG.USE.COMM.GD.PP.KD","Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,206.75,205.47,160.75,143.72,141.2,117.05,114.55,108.91,104.27,127.14,119.69,113.18,122.14,120.07,110.05,118.57,106.51,99.68,89.98,72.34,NA,NA,"Upper middle income"
"ALB","Albania","AG.YLD.CREL.KG","Cereal yield (kg per hectare)",0,0,2794.3,2071.8,2269.2,2685,2460.9,2841.4,2450.8,2833.3,2872.1,2798,3175,3030.7,3291.8,3185.7,3466.2,3462.1,3602.6,3728.3,4081.1,4315.3,NA,NA,"Upper middle income"
"ALB","Albania","NY.GDP.MKTP.CD","GDP ($)",0,0,2101624960,1139166679.07,709452572.66,1228071037.41,1985673025.89,2424498952.88,3013217852.57,2196223713.81,2727745453.08,3434402453.41,3686649387.03,4091020249.37,4449373455.57,5652325081.6,7464446950.03,8376483740.48,9132562332.43,10704660840.29,12968653524.78,12044881925.41,11786099137.93,NA,"Upper middle income"
"ALB","Albania","SH.DYN.MORT","Under-five mortality rate (per 1,000)",0,0,41.1,39.8,38.6,37.3,36.2,35.1,34,32.4,31.1,29.8,28.6,27.4,26.1,25.2,24.1,22.8,22,21,19.9,19.3,18.4,NA,"Upper middle income"
"ARE","United Arab Emirates","NY.GNP.PCAP.CD","GNI per capita (Atlas $)",0,0,20720,19340,19430,18550,18870,19940,20250,21010,20590,18890,20630,21740,22430,25050,28340,NA,NA,NA,NA,NA,NA,NA,"High income: nonOECD"
"ARE","United Arab Emirates","EN.URB.MCTY.TL.ZS","Population in urban agglomerations >1million (%)",0,0,26.14,26.38,26.66,26.96,27.3,27.67,28.04,28.39,28.76,29.24,29.86,30.74,31.79,32.52,32.33,31.06,28.98,26.06,23.63,21.88,20.86,NA,"High income: nonOECD"
"ARE","United Arab Emirates","EN.ATM.CO2E.KT","CO2 emissions, total (KtCO2)",0,1,52009.06,57010.85,58136.62,65980.33,73130.98,70641.09,41059.4,41646.12,81495.41,78374.79,112562.23,101333.88,84300.66,106365,112877.59,115627.84,122752.82,137981.88,155066.43,NA,NA,NA,"High income: nonOECD"
"ARE","United Arab Emirates","EG.USE.PCAP.KG.OE","Energy use per capita (kilograms of oil equivalent)",0,0,11258.13,12262.39,11058.79,11039.32,11635.31,11754.34,12607.84,11789.29,11596.11,11311.88,11330.6,11857.99,12438.65,11784.91,11570.72,10623.76,9757.16,9561.66,9409.65,8587.96,NA,NA,"High income: nonOECD"
"ARE","United Arab Emirates","BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",0,1,-0.34,0.08,0.37,1.12,0.16,0.93,0.63,0.45,0.53,-1.79,-0.72,1.72,0.13,4.8,9.64,8.2,7.84,6.83,5.25,1.74,NA,NA,"High income: nonOECD"
"ARE","United Arab Emirates","EN.ATM.CO2E.PP.GD.KD","CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,547.42,598.81,594.64,680.99,703.21,629.27,344.51,327.62,614.86,569.22,778.71,689.31,558.91,630.21,609.66,577.18,563.71,597.21,638.59,NA,NA,NA,"High income: nonOECD"
"ARE","United Arab Emirates","SP.URB.GROW","Urban population growth (annual %)",0,1,5.48,5.27,5.14,5.03,4.93,4.87,5.05,5.26,5.21,4.86,4.45,3.73,3.26,4.37,7.26,10.63,13.69,14.86,13.9,11.23,8.01,NA,"High income: nonOECD"
